Date,Gold_Price,Oil_Price_INR,Close,USD_INR,Gold_MA_30,Gold_Returns,Oil_Price_INR_lag1,Gold_Price_lag1
1946-01-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,,,
1946-02-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
1946-03-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
1946-04-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
1946-05-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
1946-06-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
1946-07-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
1946-08-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
1946-09-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
1946-10-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
1946-11-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
1946-12-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
1947-01-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
1947-02-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
1947-03-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
1947-04-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
1947-05-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
1947-06-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
1947-07-01,1852.8470000000002,27.264141333333335,127.02,8.0041,,0.0,27.264141333333335,1852.8470000000002
